Date,Alemania,Sudáfrica,España
2020-07-05 00:00:00+00:00,196335,196750,250545
2020-07-06 00:00:00+00:00,196554,205721,251789
2020-07-07 00:00:00+00:00,196944,215855,252130
2020-07-08 00:00:00+00:00,197341,224665,252513
2020-07-09 00:00:00+00:00,197783,238339,253056
2020-07-10 00:00:00+00:00,198178,250687,253908
2020-07-11 00:00:00+00:00,198556,264184,253908
2020-07-12 00:00:00+00:00,198804,276242,253908
2020-07-13 00:00:00+00:00,198963,287796,255953
2020-07-14 00:00:00+00:00,199375,298292,256619
2020-07-15 00:00:00+00:00,199726,311049,257494
2020-07-16 00:00:00+00:00,200260,324221,258855
2020-07-17 00:00:00+00:00,200843,337594,260255
2020-07-18 00:00:00+00:00,201372,350879,260255
2020-07-19 00:00:00+00:00,201574,364328,260255
2020-07-20 00:00:00+00:00,201823,373628,264836
2020-07-21 00:00:00+00:00,202345,381798,266194
2020-07-22 00:00:00+00:00,202799,394948,267551
2020-07-23 00:00:00+00:00,203368,408052,270166
2020-07-24 00:00:00+00:00,204183,421996,272421
2020-07-25 00:00:00+00:00,204964,434200,272421
2020-07-26 00:00:00+00:00,205269,445433,272421
2020-07-27 00:00:00+00:00,205609,452529,278782
2020-07-28 00:00:00+00:00,206242,459761,280610
2020-07-29 00:00:00+00:00,206926,471123,282641
2020-07-30 00:00:00+00:00,207828,482169,285430
2020-07-31 00:00:00+00:00,208698,493183,288522
2020-08-01 00:00:00+00:00,209653,503290,288522
2020-08-02 00:00:00+00:00,209893,511485,288522
2020-08-03 00:00:00+00:00,210402,516862,297054
2020-08-04 00:00:00+00:00,211281,521318,302814
2020-08-05 00:00:00+00:00,212022,529877,305767
2020-08-06 00:00:00+00:00,213067,538184,309855
2020-08-07 00:00:00+00:00,214214,545476,314362
2020-08-08 00:00:00+00:00,215336,553188,314362
2020-08-09 00:00:00+00:00,215891,559859,314362
2020-08-10 00:00:00+00:00,216327,563598,322980
2020-08-11 00:00:00+00:00,217293,566109,326612
2020-08-12 00:00:00+00:00,218519,568919,329784
2020-08-13 00:00:00+00:00,219964,572865,337334
2020-08-14 00:00:00+00:00,221413,579140,342813
2020-08-15 00:00:00+00:00,222828,583653,342813
2020-08-16 00:00:00+00:00,223453,587345,342813
2020-08-17 00:00:00+00:00,224014,589886,359082
2020-08-18 00:00:00+00:00,225404,592144,364196
2020-08-19 00:00:00+00:00,226914,596060,370867
2020-08-20 00:00:00+00:00,228621,599940,377906
2020-08-21 00:00:00+00:00,230048,603338,386054
2020-08-22 00:00:00+00:00,232082,607045,386054
2020-08-23 00:00:00+00:00,232864,609773,386054
2020-08-24 00:00:00+00:00,233575,611450,405436
